statename,2021-03-07
Alabama,-0.001777774465971195
Arizona,-0.0029689658543590918
Arkansas,-0.016644155562797604
California,-0.00030194619838050775
Colorado,-0.0005616799092490916
Connecticut,-0.0008864230858879815
Delaware,0.0008155248528535705
Florida,-0.00035403939017171395
Georgia,0.00019788151782004423
Idaho,0.014070795153654753
Illinois,-0.00039010075120029294
Indiana,-0.0014567038160262671
Iowa,0.002597617583952286
Kansas,-0.02317834491825352
Kentucky,-0.0144976462052934
Louisiana,-0.0035825655390303067
Maine,-0.0015685663295899634
Maryland,-0.0009368314904508717
Massachusetts,-0.0004933490691549167
Michigan,0.000583409084476039
Minnesota,-0.0002483673858473855
Mississippi,-0.008260612895125398
Missouri,-0.0043627477778287625
Montana,-0.010439280842468701
Nebraska,-0.0006889461778034692
Nevada,-0.004161134694489137
New Hampshire,-0.00901748088788706
New Jersey,-0.0003453141541216835
New Mexico,-0.0025663129767915047
New York,-0.0002461734306313638
North Carolina,-0.0019919694907025824
North Dakota,-0.0019521087775142137
Ohio,-0.0021665365991486796
Oklahoma,-0.016629799815476614
Oregon,-0.004596008983318015
Pennsylvania,-0.001023214868272301
Rhode Island,-0.0012271380343896326
South Carolina,-0.006496759629674293
South Dakota,0.020453936980921558
Tennessee,-0.002482084571738534
Texas,0.0013000167960186648
Utah,-0.009469057456177973
Vermont,-0.003035262100053695
Virginia,-0.0043743031782634435
Washington,-0.0006062073936897129
West Virginia,-0.004893333215685948
Wisconsin,-0.0019708631600649142
Wyoming,0.08994356239879672
