city,2021-03-16
Arlington Heights,0.02861643475977947
Berwyn,0.03780864197530864
Calumet City,0.03734707018673535
Chicago,0.026628790365414802
Chicago Heights,0.025415444770283478
Cicero,0.0353518821603928
Des Plaines,0.035833825556211854
Elk Grove Village,0.04160246533127889
Elmwood Park,0.028142589118198873
Evanston,0.011237627446602665
Glenview,0.035449299258037914
Hanover Park,0.04512893982808023
Hoffman Estates,0.03730569948186529
La Grange,0.02415702063412179
Melrose Park,0.02868447082096934
Mount Prospect,0.04131118096093399
Northbrook,0.021969080553295363
Oak Lawn,0.03203203203203203
Oak Park,0.024066646096883675
Orland Park,0.03793626707132018
Palatine,0.03538844346143213
Park Ridge,0.03656943839791032
Schaumburg,0.04082191780821918
Skokie,0.022900763358778622
Streamwood,0.04055555555555555
Tinley Park,0.0471841704718417
Wheeling,0.028547439126784212
