,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,positiveIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease,deathIncrease
2020-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018760229836078175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018760229836078175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018760229836078175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018760229836078175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018760229836078175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018760229836078175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018760229836078175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009380114918039088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018760229836078175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-04,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009380114918039088,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-05,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009380114918039088,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-06,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028140344754117263,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-07,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028140344754117263,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-08,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028140344754117263,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
2020-02-09,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.028140344754117263,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
2020-02-10,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.028140344754117263,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
2020-02-11,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.028140344754117263,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
2020-02-12,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.028140344754117263,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
2020-02-13,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.03752045967215635,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
2020-02-14,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.04690057459019544,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
2020-02-15,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.04690057459019544,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
2020-02-16,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.04690057459019544,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
2020-02-17,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.03752045967215635,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
2020-02-18,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.03752045967215635,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
2020-02-19,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.03752045967215635,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
2020-02-20,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.018760229836078175,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
2020-02-21,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.018760229836078175,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
2020-02-22,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.018760229836078175,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,
2020-02-23,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.028140344754117263,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,
2020-02-24,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.03752045967215635,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,
2020-02-25,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.04690057459019544,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,
2020-02-26,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.06566080442627362,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.018760229836078175,,,
2020-02-27,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.06566080442627362,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.018760229836078175,,,
2020-02-28,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0750409193443127,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.03752045967215635,,,
2020-02-29,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.10318126409842997,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.04690057459019544,,,
2020-03-01,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.1782221834427427,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0750409193443127,,,
2020-03-02,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.33768413704940725,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.10318126409842997,,,
2020-03-03,,,,,,,,,,0.006651405725712297,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.48776597573803265,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.13132160885254723,,,
2020-03-04,,,,,,,,,,0.009977108588568444,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.8066898829513617,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.1500818386886254,,,
2020-03-05,,,,,,,,,,0.02327992003999304,,,,,,,,,,,,0.0,,,,,,0.0,,,0.016083549536447975,,,,,,,,,,,,,,,,,0.0,1.0318126409842996,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.18760229836078177,,,
2020-03-06,,,,,,,,,,0.026605622902849187,,,,,,,,,,,,0.0,,,,,,0.0,,,0.03216709907289595,,,,,,,,,,,,,,,,,0.0,1.3882570078697851,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.24388298786901633,,,
2020-03-07,,,,,,,,,,0.026605622902849187,,,,,,,,,,,,0.0,,,,,,0.03692528744120755,,,0.03216709907289595,,,,,,,,,,,,,,,,,0.0,1.8666428686897785,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.2532631027870554,,,
2020-03-08,,,,,,,,,,0.03990843435427378,,,,,,,,,,,,0.0,,,,,,0.03692528744120755,,,0.04825064860934392,,,,,,,,,,,,,,,,,0.016736784588862474,2.213707120657225,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.2907835624592118,,,
2020-03-09,,,,,,,,,,0.04323413721712994,,,,,,,,,,,,0.0,,,,,,0.11077586232362266,,,0.12062662152335982,,,,,,,,,,,,,,,,,0.025105176883293712,2.560771372624671,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.3283040221313681,,,
2020-03-10,,,,,,,,,,0.05986265153141068,,,,,,,,,,,,0.0,,,,,,0.11077586232362266,,,0.1286683962915838,,,,,,,,,,,,,,,,,0.0669471383554499,3.1235782677070163,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.3470642519674463,,,
2020-03-11,,,,,,,,,,0.06651405725712298,,,,,0.10609959573295437,,,,,,,0.0,,,,,,0.1846264372060378,,,0.18496081966915173,,,,,,,,,,,,,,,,,0.07531553064988115,3.686385162789362,,,,,,,,,,,,,0.006651405725712297,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,0.008041774768223988,,,,,,,,,,,,,,,,,0.0,0.3564443668854854,,,
2020-03-12,,,,,,,,,,0.08646827443425988,,,,,0.1273195148795452,,,,,,,0.08290581395881458,,,,,,0.3692528744120756,,,0.2573367925831676,,,,,,,,,,,,,,,,,0.14226266900533102,4.708817688855621,,,,,,,,,,,,,0.006651405725712297,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,0.008041774768223988,,,,,,,,,,,,,,,,,0.0,0.3939648265576417,,,
2020-03-13,,,,,,,,,,0.10309678874854061,,,,,0.1273195148795452,,,,,,,0.2383542151315919,,,,,,0.4800287367356983,,,0.4583811617887673,,,,,,,,,,,,,,,,,0.2510517688329371,5.937612743118743,,,,,,,,,,,,,0.006651405725712297,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,0.008041774768223988,,,,,,,,,,,,,,,,,0.0,0.40334494147568084,,,
2020-03-14,,,,,,,,,,0.16961084600566356,,,,,0.15914939359943153,,,,,,,0.39380261630436936,12.258969105953097,,,,,0.5169540241769058,,,0.627258431921471,,,,,,,,,,1.1462435508629392,,,,,,,0.2510517688329371,7.588512968693622,,,0.2468335574170645,,,,,,,,,,0.009977108588568444,,,,,0.0,,,,,,,0.0,0.0,,,,,0.0,,,0.008041774768223988,,,,,,,,,,0.0,,,,,,,0.0,0.43148528622979804,,,0.0
2020-03-15,,,,,,,,,,0.3026389605199095,,,,,0.2015892318926133,,,,,,,0.6632465116705166,15.54900748911437,,,,,0.6277298865005284,,,0.7880939272859508,,2.3792926285174363,,,,,,,,1.2136696420901714,,,,,,,0.37657765324940573,9.520816641809676,,,0.37025033612559677,,,,,,,,,,0.013302811451424593,,,,,0.0,,,,,,,0.0,0.0,,,,,0.0,,,0.016083549536447975,,0.011015243650543686,,,,,,,,0.0,,,,,,,0.008368392294431237,0.45962563098391535,,,0.0
2020-03-16,,,,,,,,,,0.4057357492684501,,,,,0.2546390297590904,,,,,,,1.005232994250627,20.512674093275077,,,,,0.6646551739417361,,,1.4314359087438697,,3.458786506270718,,,,,,0.4240412508221519,,1.3485218245446347,,,,0.13795062822888535,,1.3736505886207242,0.4267880070159931,10.824652615417108,,0.6869979118698468,0.37025033612559677,,,,,,,,,,0.013302811451424593,,,,,0.010609959573295436,,,,,,,0.0,0.0,,,,,0.0,,,0.016083549536447975,,0.025702235184601935,,,,,,0.0,,0.0,,,,0.0,,0.0,0.008368392294431237,0.5440466652462672,,0.0,0.0
2020-03-17,,,0.17664023559568065,,0.7773363122162404,2.245036311539794,,,,0.48887832083985383,0.9687580767681845,0.5044846668948283,,0.8737046215716407,0.31829878719886306,,,,,,,1.2228607558925153,25.812496793106607,,,,,0.7754310362653587,,0.7879825723470438,2.1471538631158054,,5.041309844065494,0.26560754907324213,,,,0.6604760528487873,0.5356310536700865,,2.090208828044184,0.45781196181082445,,,0.155194456757496,,1.9460050005460259,0.5606822837268929,11.687623187876705,,1.0182290479499516,1.2341677870853227,,,0.0,,0.0198853475218108,0.024807031066738056,,,,0.01995421717713689,0.006727486644223501,0.0,,0.005636804010139618,0.02121991914659087,,,,,,,0.0,0.014304514709396844,,,,,0.0,,0.0,0.03216709907289595,,0.025702235184601935,0.0,,,,0.0,0.0,,0.0,0.013873089751843164,,,0.0024634040755158095,,0.0,0.008368392294431237,0.6003273547545016,,0.0,0.0
2020-03-18,,,0.2551470069715387,,1.0087294470154933,2.6543523241409726,,,3.1374974874717707,0.691746195474079,1.311859895623583,0.7062785336527596,,1.6008523388796514,0.41378842335852195,,,,,,1.0042590033591872,1.6166633721968844,31.877611029890865,,,,,0.8862068985889813,1.785623845026031,1.26077211575527,3.449921375568091,1.192276528033521,8.746103458531687,0.4222478985266927,,0.5377415101003743,,0.7959583200998207,0.7420721889387657,,2.8318958315437324,0.8323853851105898,,1.014554824429928,0.20199913419229637,,2.174946765316147,0.6443662066712054,14.182733756075102,,1.4721383825782433,1.851251680627984,,,0.0,,0.02350086525304913,0.024807031066738056,,,0.0,0.02327992003999304,0.006727486644223501,0.0,,0.005636804010139618,0.02121991914659087,,,,,,0.02362962360845146,0.020726453489703645,0.035761286773492114,,,,,0.0,0.04637984013054626,0.0,0.05629242337756792,0.0,0.04406097460217474,0.0,,0.0,,0.0,0.005579490142396734,,0.0,0.013873089751843164,,0.0,0.004926808151031619,,0.0,0.008368392294431237,0.6190875845905799,,0.0,0.0
2020-03-19,,1.0740477834094768,0.4121605497232548,1.0887765692252662,1.5745579719542917,3.410966771676483,,2.2005918711896753,3.9471742584322267,1.007687967445413,1.9173336936036982,0.8071754670317252,,2.3505472722282206,0.5941577361045445,0.8602933419181554,0.833611285488426,0.5595754210301426,,,1.2641848630521535,2.373178924571068,37.020084067919036,3.6223234829101307,,,,0.9969827609126041,2.3189920065273135,1.9436903451227083,5.9509133284857505,1.4647968772983262,15.234081968701915,0.6538031977187498,,0.727173178431188,,1.2193404052592998,1.0322056763433958,,3.9107132911794404,0.8323853851105898,,1.6002771972966905,0.2660476401557074,,2.4038885300862676,0.7866288756765364,16.471481796076638,0.07971284881047305,2.1223328348836343,2.2215020167535813,,0.0,0.0,0.0,0.03253965958114495,0.024807031066738056,,0.0,0.0,0.026605622902849187,0.06727486644223503,0.0,,0.02254721604055847,0.02121991914659087,0.0,0.024517978984953705,0.015987869172289785,,,0.02362962360845146,0.031089680234555467,0.07152257354698423,0.0,,,,0.0,0.06956976019581938,0.0,0.10454307198691186,0.0,0.04406097460217474,0.0,,0.0,,0.05080585021913748,0.005579490142396734,,0.0,0.013873089751843164,,0.0,0.007390212226547428,,0.0,0.016736784588862474,0.6753682740988145,0.0,0.0,0.0
2020-03-20,1.1799910233275483,1.366969906157516,0.6084274781629,2.272229361861425,1.813182142216021,4.403248014346006,3.8866836967522835,2.787416370173589,7.185881342274054,1.257115682159624,2.812089417285424,1.3116601339265537,0.919304637971838,3.269346325880979,0.8275768467170439,1.0187684312188683,1.078791075337963,0.7514298510976201,7.267629902661698,3.028858968249481,1.724962523416957,3.254053197883472,43.47857245921171,3.8249709504855236,1.9200267574928924,0.5469950697821395,1.069312001984643,1.1816091981186416,2.458131526918952,2.206351202571723,7.125012444646454,1.9417074885117342,25.984959771632557,0.919410746791992,1.874613126715974,1.0327081273518552,0.866463622950845,1.4394990895422286,1.4841443778775314,,4.787252477133452,1.1237202698992963,1.1303790500068387,2.3742674757277693,0.4187786928376876,2.473074016743647,3.20518470678169,0.9539967215651611,18.835270755422485,0.2789949708366557,2.8706698460275746,2.3449187954621133,0.0,0.0,0.0,0.0,0.036155177312383276,0.04961406213347611,0.06010335613534458,0.0,0.1012095963700571,0.03325702862856149,0.08745732637490554,0.0,0.0,0.028184020050698092,0.02121991914659087,0.0,0.024517978984953705,0.015987869172289785,0.18437961698084643,0.0,0.035444435412677194,0.05181613372425912,0.09297934561107951,0.0,0.024000334468661153,0.011638192974088074,0.0,0.0,0.06956976019581938,0.0,0.1286683962915838,0.0,0.12851117592300967,0.0,0.0,0.006110698978413344,0.018051325478142605,0.05080585021913748,0.005579490142396734,,0.0,0.013873089751843164,0.0807413607147742,0.0,0.01231702037757905,0.0,0.22894176477012068,0.016736784588862474,0.7316489636070488,0.0,0.036803459564456076,0.0
