,count,count,count,tested,tested,tested,percentage,percentage,percentage,Unknown tested,Unknown tested,Unknown tested,Unknown count,Unknown count,Unknown count,Unknown percentage,Unknown percentage,Unknown percentage,<20 tested,<20 tested,<20 tested,<20 count,<20 count,<20 count,<20 percentage,<20 percentage,<20 percentage,20-39 tested,20-39 tested,20-39 tested,20-39 count,20-39 count,20-39 count,20-39 percentage,20-39 percentage,20-39 percentage,30-39 tested,30-39 tested,30-39 tested,30-39 count,30-39 count,30-39 count,30-39 percentage,30-39 percentage,30-39 percentage,40-49 tested,40-49 tested,40-49 tested,40-49 count,40-49 count,40-49 count,40-49 percentage,40-49 percentage,40-49 percentage,50-59 tested,50-59 tested,50-59 tested,50-59 count,50-59 count,50-59 count,50-59 percentage,50-59 percentage,50-59 percentage,60-69 tested,60-69 tested,60-69 tested,60-69 count,60-69 count,60-69 count,60-69 percentage,60-69 percentage,60-69 percentage,70-79 tested,70-79 tested,70-79 tested,70-79 count,70-79 count,70-79 count,70-79 percentage,70-79 percentage,70-79 percentage,80+ tested,80+ tested,80+ tested,80+ count,80+ count,80+ count,80+ percentage,80+ percentage,80+ percentage
04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05-03,0.2857142857142857,2.9285714285714284,1.1428571428571428,2.2857142857142856,22.714285714285715,12.285714285714286,0.125,0.1289308176100629,0.09302325581395347,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.7142857142857143,2.142857142857143,1.1428571428571428,0.0,0.42857142857142855,0.0,0.0,0.19999999999999998,0.0,0.35714285714285715,3.2142857142857144,1.6428571428571428,0.0,0.21428571428571427,0.07142857142857142,0.0,0.06666666666666667,0.043478260869565216,0.2857142857142857,2.642857142857143,1.0714285714285714,0.0,0.7142857142857143,0.14285714285714285,0.0,0.2702702702702703,0.13333333333333333,0.0,1.7857142857142858,3.2857142857142856,0.0,0.35714285714285715,0.5,,0.19999999999999998,0.15217391304347827,0.14285714285714285,2.857142857142857,1.3571428571428572,0.0,0.5714285714285714,0.14285714285714285,0.0,0.19999999999999998,0.10526315789473684,0.07142857142857142,2.0714285714285716,0.7142857142857143,0.0,0.5,0.5,0.0,0.24137931034482757,0.7,0.0,1.0,0.5,0.0,0.5,0.0,,0.5,0.0
05-04,0.2857142857142857,2.9285714285714284,1.1428571428571428,2.2857142857142856,22.714285714285715,12.285714285714286,0.125,0.1289308176100629,0.09302325581395347,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.7142857142857143,2.142857142857143,1.1428571428571428,0.0,0.42857142857142855,0.0,0.0,0.19999999999999998,0.0,0.35714285714285715,3.2142857142857144,1.6428571428571428,0.0,0.21428571428571427,0.07142857142857142,0.0,0.06666666666666667,0.043478260869565216,0.2857142857142857,2.642857142857143,1.0714285714285714,0.0,0.7142857142857143,0.14285714285714285,0.0,0.2702702702702703,0.13333333333333333,0.0,1.7857142857142858,3.2857142857142856,0.0,0.35714285714285715,0.5,,0.19999999999999998,0.15217391304347827,0.14285714285714285,2.857142857142857,1.3571428571428572,0.0,0.5714285714285714,0.14285714285714285,0.0,0.19999999999999998,0.10526315789473684,0.07142857142857142,2.0714285714285716,0.7142857142857143,0.0,0.5,0.5,0.0,0.24137931034482757,0.7,0.0,1.0,0.5,0.0,0.5,0.0,,0.5,0.0
05-05,0.2857142857142857,2.9285714285714284,1.1428571428571428,2.2857142857142856,22.714285714285715,12.285714285714286,0.125,0.1289308176100629,0.09302325581395347,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.7142857142857143,2.142857142857143,1.1428571428571428,0.0,0.42857142857142855,0.0,0.0,0.19999999999999998,0.0,0.35714285714285715,3.2142857142857144,1.6428571428571428,0.0,0.21428571428571427,0.07142857142857142,0.0,0.06666666666666667,0.043478260869565216,0.2857142857142857,2.642857142857143,1.0714285714285714,0.0,0.7142857142857143,0.14285714285714285,0.0,0.2702702702702703,0.13333333333333333,0.0,1.7857142857142858,3.2857142857142856,0.0,0.35714285714285715,0.5,,0.19999999999999998,0.15217391304347827,0.14285714285714285,2.857142857142857,1.3571428571428572,0.0,0.5714285714285714,0.14285714285714285,0.0,0.19999999999999998,0.10526315789473684,0.07142857142857142,2.0714285714285716,0.7142857142857143,0.0,0.5,0.5,0.0,0.24137931034482757,0.7,0.0,1.0,0.5,0.0,0.5,0.0,,0.5,0.0
05-06,0.35714285714285715,3.7142857142857144,1.2142857142857142,3.142857142857143,32.142857142857146,16.714285714285715,0.11363636363636365,0.11555555555555555,0.07264957264957264,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.6428571428571428,0.8571428571428571,0.0,0.0,0.0,,0.0,0.0,0.7857142857142857,3.4285714285714284,2.0,0.0,0.6428571428571429,0.0,0.0,0.18750000000000003,0.0,0.5714285714285714,4.857142857142857,2.2857142857142856,0.42857142857142855,0.35714285714285715,0.07142857142857142,0.75,0.07352941176470588,0.03125,0.42857142857142855,4.357142857142857,1.6428571428571428,0.0,0.9285714285714286,0.14285714285714285,0.0,0.21311475409836067,0.08695652173913043,0.2857142857142857,3.2857142857142856,4.0,0.0,0.2857142857142857,0.5,0.0,0.08695652173913043,0.125,0.21428571428571427,4.214285714285714,2.142857142857143,0.0,0.6428571428571429,0.21428571428571427,0.0,0.15254237288135594,0.09999999999999999,0.14285714285714285,2.9285714285714284,1.1428571428571428,0.0,0.5,0.5,0.0,0.17073170731707318,0.4375,0.0,1.4285714285714286,0.5714285714285714,0.0,0.5714285714285714,0.0,,0.39999999999999997,0.0
05-07,0.35714285714285715,3.857142857142857,1.3571428571428572,3.2857142857142856,34.285714285714285,17.857142857142858,0.10869565217391305,0.1125,0.076,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.8571428571428572,1.0714285714285714,0.0,0.0,0.0,,0.0,0.0,0.8571428571428571,3.7857142857142856,2.142857142857143,0.0,0.6428571428571429,0.42857142857142855,0.0,0.169811320754717,0.19999999999999998,0.5714285714285714,5.142857142857143,2.4285714285714284,0.42857142857142855,0.42857142857142855,0.07142857142857142,0.75,0.08333333333333333,0.029411764705882353,0.42857142857142855,4.5,1.6428571428571428,0.0,0.9285714285714286,0.14285714285714285,0.0,0.20634920634920637,0.08695652173913043,0.35714285714285715,3.4285714285714284,4.357142857142857,0.0,0.2857142857142857,0.5714285714285714,0.0,0.08333333333333333,0.13114754098360656,0.21428571428571427,4.5,2.2857142857142856,0.0,0.6428571428571429,0.21428571428571427,0.0,0.14285714285714288,0.09375,0.14285714285714285,3.357142857142857,1.2857142857142858,0.0,0.5714285714285714,0.5,0.0,0.1702127659574468,0.38888888888888884,0.0,1.7142857142857142,0.5714285714285714,0.0,0.5714285714285714,0.0,,0.3333333333333333,0.0
05-08,0.2857142857142857,2.857142857142857,0.8571428571428571,2.5,27.428571428571427,14.214285714285714,0.11428571428571428,0.10416666666666667,0.06030150753768844,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.5,0.9285714285714286,0.0,0.0,0.0,,0.0,0.0,0.8571428571428571,3.5714285714285716,2.142857142857143,0.0,0.6428571428571429,0.42857142857142855,0.0,0.18,0.19999999999999998,0.6428571428571429,4.357142857142857,2.4285714285714284,0.42857142857142855,0.35714285714285715,-0.07142857142857142,0.6666666666666666,0.0819672131147541,-0.029411764705882353,0.42857142857142855,4.428571428571429,2.0,0.0,0.7142857142857143,0.07142857142857142,0.0,0.16129032258064516,0.03571428571428571,0.5,3.5714285714285716,3.2857142857142856,0.0,0.07142857142857142,0.5714285714285714,0.0,0.019999999999999997,0.17391304347826086,0.21428571428571427,4.785714285714286,1.8571428571428572,0.0,0.5714285714285714,0.14285714285714285,0.0,0.11940298507462686,0.07692307692307691,0.21428571428571427,3.5,1.3571428571428572,0.0,0.35714285714285715,0.07142857142857142,0.0,0.10204081632653061,0.05263157894736842,0.0,1.7142857142857142,0.5714285714285714,0.0,0.35714285714285715,0.0,,0.20833333333333334,0.0
05-09,0.2857142857142857,2.857142857142857,0.8571428571428571,2.5,27.428571428571427,14.214285714285714,0.11428571428571428,0.10416666666666667,0.06030150753768844,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.5,0.9285714285714286,0.0,0.0,0.0,,0.0,0.0,0.8571428571428571,3.5714285714285716,2.142857142857143,0.0,0.6428571428571429,0.42857142857142855,0.0,0.18,0.19999999999999998,0.6428571428571429,4.357142857142857,2.4285714285714284,0.42857142857142855,0.35714285714285715,-0.07142857142857142,0.6666666666666666,0.0819672131147541,-0.029411764705882353,0.42857142857142855,4.428571428571429,2.0,0.0,0.7142857142857143,0.07142857142857142,0.0,0.16129032258064516,0.03571428571428571,0.5,3.5714285714285716,3.2857142857142856,0.0,0.07142857142857142,0.5714285714285714,0.0,0.019999999999999997,0.17391304347826086,0.21428571428571427,4.785714285714286,1.8571428571428572,0.0,0.5714285714285714,0.14285714285714285,0.0,0.11940298507462686,0.07692307692307691,0.21428571428571427,3.5,1.3571428571428572,0.0,0.35714285714285715,0.07142857142857142,0.0,0.10204081632653061,0.05263157894736842,0.0,1.7142857142857142,0.5714285714285714,0.0,0.35714285714285715,0.0,,0.20833333333333334,0.0
05-10,0.2857142857142857,2.857142857142857,0.8571428571428571,2.5,27.428571428571427,14.214285714285714,0.11428571428571428,0.10416666666666667,0.06030150753768844,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.5,0.9285714285714286,0.0,0.0,0.0,,0.0,0.0,0.8571428571428571,3.5714285714285716,2.142857142857143,0.0,0.6428571428571429,0.42857142857142855,0.0,0.18,0.19999999999999998,0.6428571428571429,4.357142857142857,2.4285714285714284,0.42857142857142855,0.35714285714285715,-0.07142857142857142,0.6666666666666666,0.0819672131147541,-0.029411764705882353,0.42857142857142855,4.428571428571429,2.0,0.0,0.7142857142857143,0.07142857142857142,0.0,0.16129032258064516,0.03571428571428571,0.5,3.5714285714285716,3.2857142857142856,0.0,0.07142857142857142,0.5714285714285714,0.0,0.019999999999999997,0.17391304347826086,0.21428571428571427,4.785714285714286,1.8571428571428572,0.0,0.5714285714285714,0.14285714285714285,0.0,0.11940298507462686,0.07692307692307691,0.21428571428571427,3.5,1.3571428571428572,0.0,0.35714285714285715,0.07142857142857142,0.0,0.10204081632653061,0.05263157894736842,0.0,1.7142857142857142,0.5714285714285714,0.0,0.35714285714285715,0.0,,0.20833333333333334,0.0
05-11,0.35714285714285715,3.0714285714285716,0.9285714285714286,2.4285714285714284,29.5,14.071428571428571,0.14705882352941177,0.10411622276029056,0.06598984771573604,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,2.142857142857143,1.2857142857142858,0.0,0.0,0.0,,0.0,0.0,0.8571428571428571,3.642857142857143,2.0714285714285716,0.0,0.8571428571428571,0.42857142857142855,0.0,0.23529411764705882,0.2068965517241379,0.5,4.5,2.0714285714285716,0.5,0.42857142857142855,0.0,1.0,0.09523809523809523,0.0,0.42857142857142855,5.142857142857143,2.142857142857143,0.0,0.7142857142857143,0.07142857142857142,0.0,0.1388888888888889,0.03333333333333333,0.5,4.428571428571429,3.0714285714285716,0.0,0.07142857142857142,0.7857142857142857,0.0,0.016129032258064516,0.25581395348837205,0.21428571428571427,4.5,2.0714285714285716,0.0,0.35714285714285715,0.21428571428571427,0.0,0.07936507936507936,0.10344827586206895,0.07142857142857142,3.2857142857142856,1.2142857142857142,0.0,0.35714285714285715,0.0,0.0,0.10869565217391305,0.0,0.42857142857142855,1.8571428571428572,0.14285714285714285,0.0,0.5,0.0,0.0,0.2692307692307692,0.0
05-12,0.35714285714285715,3.0714285714285716,0.9285714285714286,2.4285714285714284,29.5,14.071428571428571,0.14705882352941177,0.10411622276029056,0.06598984771573604,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,2.142857142857143,1.2857142857142858,0.0,0.0,0.0,,0.0,0.0,0.8571428571428571,3.642857142857143,2.0714285714285716,0.0,0.8571428571428571,0.42857142857142855,0.0,0.23529411764705882,0.2068965517241379,0.5,4.5,2.0714285714285716,0.5,0.42857142857142855,0.0,1.0,0.09523809523809523,0.0,0.42857142857142855,5.142857142857143,2.142857142857143,0.0,0.7142857142857143,0.07142857142857142,0.0,0.1388888888888889,0.03333333333333333,0.5,4.428571428571429,3.0714285714285716,0.0,0.07142857142857142,0.7857142857142857,0.0,0.016129032258064516,0.25581395348837205,0.21428571428571427,4.5,2.0714285714285716,0.0,0.35714285714285715,0.21428571428571427,0.0,0.07936507936507936,0.10344827586206895,0.07142857142857142,3.2857142857142856,1.2142857142857142,0.0,0.35714285714285715,0.0,0.0,0.10869565217391305,0.0,0.42857142857142855,1.8571428571428572,0.14285714285714285,0.0,0.5,0.0,0.0,0.2692307692307692,0.0
05-13,0.21428571428571427,2.5,0.7857142857142857,1.8571428571428572,24.428571428571427,11.571428571428571,0.11538461538461538,0.10233918128654972,0.06790123456790123,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,2.0714285714285716,1.1428571428571428,0.0,0.0,0.0,,0.0,0.0,0.35714285714285715,3.0714285714285716,1.5714285714285714,0.0,0.8571428571428571,0.42857142857142855,0.0,0.2790697674418604,0.2727272727272727,0.5,3.4285714285714284,1.5714285714285714,0.5,0.35714285714285715,0.0,1.0,0.10416666666666667,0.0,0.21428571428571427,4.285714285714286,1.6428571428571428,0.0,0.5,0.07142857142857142,0.0,0.11666666666666667,0.043478260869565216,0.42857142857142855,3.5714285714285716,2.5,0.0,0.07142857142857142,0.35714285714285715,0.0,0.019999999999999997,0.14285714285714285,0.07142857142857142,3.7857142857142856,1.9285714285714286,0.0,0.35714285714285715,0.21428571428571427,0.0,0.09433962264150944,0.1111111111111111,0.07142857142857142,2.7857142857142856,1.0714285714285714,0.0,0.21428571428571427,0.0,0.0,0.07692307692307693,0.0,0.42857142857142855,1.4285714285714286,0.14285714285714285,0.0,0.35714285714285715,0.0,0.0,0.25,0.0
05-14,0.21428571428571427,2.2142857142857144,0.7857142857142857,1.7142857142857142,21.071428571428573,10.0,0.125,0.10508474576271186,0.07857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.8571428571428572,1.0714285714285714,0.0,0.0,0.0,,0.0,0.0,0.2857142857142857,2.5,1.5,0.0,0.42857142857142855,0.42857142857142855,0.0,0.17142857142857143,0.2857142857142857,0.42857142857142855,2.7857142857142856,1.2142857142857142,0.5,0.42857142857142855,0.0,1.1666666666666667,0.15384615384615385,0.0,0.21428571428571427,3.357142857142857,1.2857142857142858,0.0,0.42857142857142855,0.07142857142857142,0.0,0.1276595744680851,0.055555555555555546,0.42857142857142855,3.357142857142857,2.142857142857143,0.0,0.0,0.35714285714285715,0.0,0.0,0.16666666666666669,0.07142857142857142,3.5714285714285716,1.7142857142857142,0.0,0.35714285714285715,0.21428571428571427,0.0,0.09999999999999999,0.125,0.07142857142857142,2.4285714285714284,1.0,0.0,0.21428571428571427,0.0,0.0,0.08823529411764706,0.0,0.42857142857142855,1.2142857142857142,0.07142857142857142,0.0,0.21428571428571427,0.0,0.0,0.17647058823529413,0.0
05-15,0.21428571428571427,2.2142857142857144,0.7857142857142857,1.7142857142857142,21.071428571428573,10.0,0.125,0.10508474576271186,0.07857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.8571428571428572,1.0714285714285714,0.0,0.0,0.0,,0.0,0.0,0.2857142857142857,2.5,1.5,0.0,0.42857142857142855,0.42857142857142855,0.0,0.17142857142857143,0.2857142857142857,0.42857142857142855,2.7857142857142856,1.2142857142857142,0.5,0.42857142857142855,0.0,1.1666666666666667,0.15384615384615385,0.0,0.21428571428571427,3.357142857142857,1.2857142857142858,0.0,0.42857142857142855,0.07142857142857142,0.0,0.1276595744680851,0.055555555555555546,0.42857142857142855,3.357142857142857,2.142857142857143,0.0,0.0,0.35714285714285715,0.0,0.0,0.16666666666666669,0.07142857142857142,3.5714285714285716,1.7142857142857142,0.0,0.35714285714285715,0.21428571428571427,0.0,0.09999999999999999,0.125,0.07142857142857142,2.4285714285714284,1.0,0.0,0.21428571428571427,0.0,0.0,0.08823529411764706,0.0,0.42857142857142855,1.2142857142857142,0.07142857142857142,0.0,0.21428571428571427,0.0,0.0,0.17647058823529413,0.0
05-16,0.2857142857142857,3.2857142857142856,1.0,4.071428571428571,39.642857142857146,16.5,0.07017543859649122,0.08288288288288287,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.7142857142857143,2.857142857142857,1.7857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.5,2.5714285714285716,0.0,0.6428571428571429,0.5714285714285714,0.0,0.14285714285714288,0.22222222222222218,0.5714285714285714,6.142857142857143,2.0714285714285716,0.5,0.9285714285714286,0.14285714285714285,0.875,0.1511627906976744,0.0689655172413793,0.5714285714285714,5.857142857142857,2.357142857142857,0.0,0.7142857142857143,0.14285714285714285,0.0,0.12195121951219513,0.0606060606060606,0.7857142857142857,5.5,3.142857142857143,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.5454545454545454,0.03896103896103896,0.09090909090909091,0.35714285714285715,4.928571428571429,2.7142857142857144,0.0,0.0,0.21428571428571427,0.0,0.0,0.07894736842105263,0.35714285714285715,4.571428571428571,1.2857142857142858,0.0,0.21428571428571427,0.0,0.0,0.046875,0.0,0.5,5.285714285714286,0.5714285714285714,0.0,0.35714285714285715,0.0,0.0,0.06756756756756757,0.0
05-17,0.2857142857142857,3.2857142857142856,1.0,4.071428571428571,39.642857142857146,16.5,0.07017543859649122,0.08288288288288287,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.7142857142857143,2.857142857142857,1.7857142857142858,0.0,0.0,0.0,0.0,0.0,0.0,0.5,4.5,2.5714285714285716,0.0,0.6428571428571429,0.5714285714285714,0.0,0.14285714285714288,0.22222222222222218,0.5714285714285714,6.142857142857143,2.0714285714285716,0.5,0.9285714285714286,0.14285714285714285,0.875,0.1511627906976744,0.0689655172413793,0.5714285714285714,5.857142857142857,2.357142857142857,0.0,0.7142857142857143,0.14285714285714285,0.0,0.12195121951219513,0.0606060606060606,0.7857142857142857,5.5,3.142857142857143,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.5454545454545454,0.03896103896103896,0.09090909090909091,0.35714285714285715,4.928571428571429,2.7142857142857144,0.0,0.0,0.21428571428571427,0.0,0.0,0.07894736842105263,0.35714285714285715,4.571428571428571,1.2857142857142858,0.0,0.21428571428571427,0.0,0.0,0.046875,0.0,0.5,5.285714285714286,0.5714285714285714,0.0,0.35714285714285715,0.0,0.0,0.06756756756756757,0.0
05-18,0.35714285714285715,3.7142857142857144,1.0,4.642857142857143,43.857142857142854,18.285714285714285,0.07692307692307691,0.08469055374592835,0.0546875,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.7142857142857143,3.0714285714285716,1.8571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,5.142857142857143,2.857142857142857,0.0,0.9285714285714286,0.6428571428571429,0.0,0.18055555555555555,0.225,0.6428571428571429,6.714285714285714,2.2857142857142856,0.5,1.0,0.07142857142857142,0.7777777777777777,0.14893617021276595,0.03125,0.7857142857142857,6.571428571428571,2.5714285714285716,0.0,0.7142857142857143,0.14285714285714285,0.0,0.10869565217391305,0.055555555555555546,0.8571428571428571,6.357142857142857,3.642857142857143,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.5,0.06741573033707865,0.0784313725490196,0.35714285714285715,5.214285714285714,3.0714285714285716,0.0,0.0,0.21428571428571427,0.0,0.0,0.0697674418604651,0.35714285714285715,5.285714285714286,1.3571428571428572,0.0,0.14285714285714285,0.0,0.0,0.027027027027027025,0.0,0.5,5.5,0.6428571428571429,0.0,0.2857142857142857,0.0,0.0,0.051948051948051945,0.0
05-19,0.35714285714285715,3.7142857142857144,1.0,4.642857142857143,43.857142857142854,18.285714285714285,0.07692307692307691,0.08469055374592835,0.0546875,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.7142857142857143,3.0714285714285716,1.8571428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,5.142857142857143,2.857142857142857,0.0,0.9285714285714286,0.6428571428571429,0.0,0.18055555555555555,0.225,0.6428571428571429,6.714285714285714,2.2857142857142856,0.5,1.0,0.07142857142857142,0.7777777777777777,0.14893617021276595,0.03125,0.7857142857142857,6.571428571428571,2.5714285714285716,0.0,0.7142857142857143,0.14285714285714285,0.0,0.10869565217391305,0.055555555555555546,0.8571428571428571,6.357142857142857,3.642857142857143,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.5,0.06741573033707865,0.0784313725490196,0.35714285714285715,5.214285714285714,3.0714285714285716,0.0,0.0,0.21428571428571427,0.0,0.0,0.0697674418604651,0.35714285714285715,5.285714285714286,1.3571428571428572,0.0,0.14285714285714285,0.0,0.0,0.027027027027027025,0.0,0.5,5.5,0.6428571428571429,0.0,0.2857142857142857,0.0,0.0,0.051948051948051945,0.0
05-20,0.2857142857142857,2.9285714285714284,0.9285714285714286,3.7857142857142856,34.42857142857143,13.857142857142858,0.07547169811320754,0.0850622406639004,0.06701030927835051,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.7142857142857143,2.4285714285714284,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,3.857142857142857,2.0,0.0,0.7142857142857143,0.6428571428571429,0.0,0.18518518518518517,0.32142857142857145,0.42857142857142855,5.071428571428571,1.6428571428571428,0.07142857142857142,0.8571428571428571,0.07142857142857142,0.16666666666666666,0.16901408450704225,0.043478260869565216,0.6428571428571429,4.857142857142857,2.0,0.0,0.5,0.14285714285714285,0.0,0.10294117647058824,0.07142857142857142,0.5714285714285714,4.857142857142857,2.9285714285714284,0.42857142857142855,0.5,0.2857142857142857,0.75,0.10294117647058824,0.0975609756097561,0.2857142857142857,3.857142857142857,2.2857142857142856,0.0,-0.07142857142857142,0.14285714285714285,0.0,-0.018518518518518517,0.0625,0.2857142857142857,4.428571428571429,0.9285714285714286,0.0,0.14285714285714285,0.0,0.0,0.03225806451612903,0.0,0.5,5.071428571428571,0.5714285714285714,0.0,0.21428571428571427,0.0,0.0,0.04225352112676056,0.0
